source_node,target_node,edge_type
3427,4707,pos_statement
784,4545,pos_statement
1001,4665,pos_statement
1696,6887,pos_statement
802,9236,pos_statement
1102,5364,pos_statement
263,6434,pos_statement
1449,7284,pos_statement
1526,6996,pos_statement
2604,9237,pos_statement
1741,6264,pos_statement
2381,5657,pos_statement
1757,8525,pos_statement
1399,9238,pos_statement
4018,9239,pos_statement
517,9240,pos_statement
889,9241,pos_statement
2757,4553,pos_statement
164,9242,pos_statement
3396,9243,pos_statement
4392,4564,pos_statement
2678,9244,pos_statement
3679,9245,pos_statement
1372,8168,pos_statement
4142,9246,pos_statement
811,7601,pos_statement
3052,5743,pos_statement
2913,4707,pos_statement
873,9247,pos_statement
3851,7284,pos_statement
1045,4569,pos_statement
1191,9181,pos_statement
1006,4538,pos_statement
461,4536,pos_statement
3417,9248,pos_statement
3854,6427,pos_statement
525,6224,pos_statement
2010,9213,pos_statement
2259,9180,pos_statement
765,5600,pos_statement
1339,4521,pos_statement
1345,9225,pos_statement
1354,7261,pos_statement
2608,6081,pos_statement
3482,4626,pos_statement
1855,6263,pos_statement
1018,9249,pos_statement
1848,4532,pos_statement
654,9250,pos_statement
156,4545,pos_statement
1248,5830,pos_statement
2886,9251,pos_statement
2386,9252,pos_statement
2980,4861,pos_statement
4193,9253,pos_statement
1771,8926,pos_statement
1640,5954,pos_statement
1576,6538,pos_statement
2301,9132,pos_statement
4071,7664,pos_statement
2246,4510,pos_statement
2568,8726,pos_statement
3653,6901,pos_statement
3338,5679,pos_statement
4323,5657,pos_statement
943,4536,pos_statement
251,7080,pos_statement
995,9254,pos_statement
2862,4995,pos_statement
1431,5871,pos_statement
2409,5347,pos_statement
3066,4803,pos_statement
1529,4534,pos_statement
1308,8155,pos_statement
4155,7221,pos_statement
402,5606,pos_statement
3994,7787,pos_statement
378,5525,pos_statement
3739,4510,pos_statement
1446,6793,pos_statement
3328,9255,pos_statement
4010,4956,pos_statement
196,9256,pos_statement
4351,5606,pos_statement
2183,9257,pos_statement
14,6523,pos_statement
1329,8385,pos_statement
2638,7187,pos_statement
1665,5657,pos_statement
300,9258,pos_statement
3104,5606,pos_statement
164,4876,pos_statement
2721,9259,pos_statement
252,4803,pos_statement
1150,4784,pos_statement
703,8373,pos_statement
1533,9260,pos_statement
1051,7512,pos_statement
2715,7916,pos_statement
2319,4925,pos_statement
2082,7742,pos_statement
2265,4521,pos_statement
3639,4883,pos_statement
1752,4505,pos_statement
2889,4564,pos_statement
34,8155,pos_statement
3568,9261,pos_statement
972,4500,pos_statement
2511,4510,pos_statement
767,4838,pos_statement
4142,9262,pos_statement
2203,9263,pos_statement
60,8385,pos_statement
3523,4876,pos_statement
5,9264,pos_statement
2885,8631,pos_statement
1043,8188,pos_statement
3136,4564,pos_statement
2212,9133,pos_statement
3813,6321,pos_statement
936,8155,pos_statement
4074,8526,pos_statement
3656,9265,pos_statement
3858,6594,pos_statement
1141,7487,pos_statement
2543,9266,pos_statement
3010,9222,pos_statement
441,4510,pos_statement
2957,7498,pos_statement
149,9267,pos_statement
30,9268,pos_statement
2856,9269,pos_statement
1582,4648,pos_statement
3019,9133,pos_statement
2313,4606,pos_statement
2597,4526,pos_statement
3313,4707,pos_statement
874,8373,pos_statement
3266,7784,pos_statement
967,9270,pos_statement
1153,5216,pos_statement
3683,9271,pos_statement
3745,9272,pos_statement
940,9273,pos_statement
646,8071,pos_statement
4111,9274,pos_statement
2433,9275,pos_statement
2319,5751,pos_statement
310,4534,pos_statement
1457,4827,pos_statement
895,9199,pos_statement
199,9276,pos_statement
3807,4510,pos_statement
2862,9277,pos_statement
3615,9278,pos_statement
2102,6603,pos_statement
4319,9279,pos_statement
1533,4940,pos_statement
3663,6905,pos_statement
417,9280,pos_statement
1882,7295,pos_statement
2311,6205,pos_statement
2457,6116,pos_statement
344,4653,pos_statement
375,9281,pos_statement
903,6793,pos_statement
9,7192,pos_statement
3482,7917,pos_statement
3595,4932,pos_statement
2630,9282,pos_statement
356,5782,pos_statement
3316,4626,pos_statement
911,9134,pos_statement
3100,9283,pos_statement
1025,9284,pos_statement
967,8385,pos_statement
2170,8572,pos_statement
2256,9285,pos_statement
2834,4521,pos_statement
3838,8084,pos_statement
2022,9286,pos_statement
1629,6256,pos_statement
3186,6695,pos_statement
1799,5117,pos_statement
1662,5241,pos_statement
4225,6205,pos_statement
4365,9287,pos_statement
850,9288,pos_statement
1326,4850,pos_statement
4288,9289,pos_statement
207,6520,pos_statement
4372,7257,pos_statement
3867,4813,pos_statement
1857,9290,pos_statement
2697,4925,pos_statement
1296,9280,pos_statement
2615,7111,pos_statement
96,9291,pos_statement
3744,9292,pos_statement
3105,4602,pos_statement
4416,4510,pos_statement
2521,6520,pos_statement
2104,5790,pos_statement
20,4627,pos_statement
1531,4891,pos_statement
3331,9293,pos_statement
153,9294,pos_statement
3234,6802,pos_statement
2357,7612,pos_statement
955,5393,pos_statement
2857,4553,pos_statement
2337,4545,pos_statement
563,5058,pos_statement
1269,5657,pos_statement
3639,4734,pos_statement
4126,7200,pos_statement
1304,7565,pos_statement
355,9295,pos_statement
1522,4791,pos_statement
1546,8298,pos_statement
849,4536,pos_statement
4347,9296,pos_statement
4324,5121,pos_statement
4090,9297,pos_statement
3524,5072,pos_statement
556,8472,pos_statement
2886,7801,pos_statement
2188,4510,pos_statement
1477,6489,pos_statement
2479,4635,pos_statement
1499,6538,pos_statement
2254,6355,pos_statement
481,9298,pos_statement
695,9299,pos_statement
260,4574,pos_statement
3902,4568,pos_statement
2648,4848,pos_statement
446,7782,pos_statement
3004,6947,pos_statement
2214,6951,pos_statement
3303,9300,pos_statement
1330,9301,pos_statement
3694,9302,pos_statement
2944,4873,pos_statement
3751,4925,pos_statement
3942,5606,pos_statement
60,9303,pos_statement
508,4815,pos_statement
4161,4564,pos_statement
2664,5519,pos_statement
3006,4564,pos_statement
3012,7101,pos_statement
3074,4537,pos_statement
433,9304,pos_statement
623,9305,pos_statement
2632,8647,pos_statement
1242,9306,pos_statement
1603,9307,pos_statement
2697,5751,pos_statement
2592,9308,pos_statement
4297,9213,pos_statement
2827,9302,pos_statement
962,9309,pos_statement
1448,9180,pos_statement
2835,8828,pos_statement
2220,5939,pos_statement
52,7352,pos_statement
1817,9310,pos_statement
3275,9311,pos_statement
2629,4614,pos_statement
3266,7653,pos_statement
3352,4666,pos_statement
1138,4503,pos_statement
2950,4626,pos_statement
628,5398,pos_statement
2925,4538,pos_statement
1322,7026,pos_statement
1249,6905,pos_statement
2411,4883,pos_statement
644,5986,pos_statement
1967,5962,pos_statement
2546,4493,pos_statement
1114,9312,pos_statement
1149,9313,pos_statement
1288,5650,pos_statement
4076,9314,pos_statement
2574,9315,pos_statement
585,5899,pos_statement
251,9316,pos_statement
1836,7862,pos_statement
1214,4565,pos_statement
767,7566,pos_statement
2723,4564,pos_statement
1775,9198,pos_statement
1114,4707,pos_statement
107,9317,pos_statement
2911,9318,pos_statement
2409,7436,pos_statement
3626,8417,pos_statement
2294,9319,pos_statement
3285,9320,pos_statement
1627,9321,pos_statement
1316,8246,pos_statement
1392,5357,pos_statement
3441,4538,pos_statement
685,6471,pos_statement
3034,9180,pos_statement
1087,5657,pos_statement
2449,9322,pos_statement
1133,9323,pos_statement
710,4565,pos_statement
126,4867,pos_statement
1143,4536,pos_statement
2255,4793,pos_statement
2021,4580,pos_statement
2893,9324,pos_statement
1408,4536,pos_statement
1161,9325,pos_statement
650,9326,pos_statement
3466,9327,pos_statement
2,5457,pos_statement
1927,7940,pos_statement
149,5458,pos_statement
1157,9328,pos_statement
