source_node,target_node,edge_type
5653,13264,link
13265,13266,link
13267,13268,link
13269,8305,link
13270,13271,link
13272,13273,link
13274,13275,link
13276,12919,link
13277,13278,link
13279,13280,link
13281,13249,link
13282,13283,link
13284,13285,link
13286,13287,link
13288,13289,link
13290,13291,link
13292,12527,link
13293,13294,link
13295,9568,link
8590,9595,link
13296,13297,link
10577,13298,link
13299,13300,link
12877,13301,link
13215,5416,link
13302,13303,link
13304,13305,link
13306,13307,link
13308,4539,link
13309,13310,link
13311,13312,link
8706,7526,link
10408,13313,link
4453,4604,link
9899,6265,link
13314,13315,link
11481,5891,link
13316,13317,link
13318,7062,link
13319,4617,link
13320,13321,link
13322,13323,link
13324,4475,link
13325,13326,link
13327,9659,link
13328,12864,link
7104,11653,link
8505,9574,link
13329,10695,link
9165,13330,link
13331,9329,link
13332,5275,link
13333,13334,link
13335,12866,link
5921,6918,link
13336,13337,link
9074,11713,link
13338,13339,link
13340,12933,link
13341,13342,link
10234,13343,link
10934,9777,link
11146,5292,link
12291,7525,link
13344,13345,link
7916,9158,link
13346,13347,link
13348,9280,link
6822,13349,link
6184,13101,link
13350,13351,link
13352,13353,link
11972,13354,link
13355,13356,link
5577,5048,link
13357,13358,link
13359,12920,link
13360,13361,link
13362,13363,link
13364,5673,link
13365,13366,link
13367,13368,link
13369,13370,link
13371,13372,link
13373,13374,link
13375,13376,link
13377,4475,link
9095,12096,link
13378,13379,link
12464,13380,link
13381,13382,link
13383,12785,link
13384,13385,link
13386,6727,link
13387,10492,link
13388,12926,link
13389,13390,link
13391,7953,link
13392,11789,link
13393,13394,link
13395,13396,link
13397,13398,link
13399,13400,link
11961,10807,link
13401,13402,link
13403,13404,link
13405,13406,link
7159,13262,link
13407,13408,link
10823,12460,link
10391,5600,link
13409,13410,link
13411,13412,link
13413,10341,link
13414,13415,link
6381,13416,link
13417,12553,link
10546,13418,link
13419,13420,link
13421,13104,link
13422,9411,link
5623,13423,link
12942,13424,link
13425,13372,link
13426,13427,link
13428,13429,link
13430,8853,link
6710,6106,link
13431,6481,link
13432,4651,link
5552,5556,link
13433,10783,link
13434,10093,link
5743,13435,link
13436,10515,link
13437,12714,link
8441,10406,link
13438,7610,link
11952,13439,link
13440,13441,link
13442,13443,link
13444,13445,link
13446,5406,link
13447,11227,link
13448,4442,link
7387,13449,link
13450,13451,link
13452,13453,link
13454,13455,link
13456,13457,link
13458,6428,link
13459,13460,link
13461,5891,link
13462,6068,link
13463,8046,link
13464,13465,link
13466,13467,link
13468,13469,link
13470,13471,link
13472,8950,link
13473,13474,link
7418,4569,link
13475,13476,link
13477,9168,link
13478,12550,link
13479,7078,link
13480,13481,link
13482,13483,link
13484,6222,link
13485,13486,link
13487,5422,link
13488,13489,link
13490,13491,link
13492,13493,link
9317,12536,link
13494,8425,link
9906,13495,link
13496,4995,link
5256,8149,link
13497,12807,link
13498,13499,link
13500,10308,link
13501,5795,link
13502,13503,link
13374,13504,link
12170,5408,link
9146,13505,link
13506,13507,link
13508,11542,link
10291,13509,link
10735,10884,link
9173,13510,link
7235,13511,link
13512,13513,link
7702,13514,link
13515,11110,link
12736,13516,link
13517,13518,link
13519,13520,link
13521,13522,link
13523,13524,link
13525,6356,link
13526,13101,link
13527,13528,link
13529,13530,link
13531,13259,link
13532,13441,link
13533,7305,link
13534,13535,link
13536,13537,link
13538,13025,link
13539,13372,link
13540,13541,link
13542,6887,link
13543,13544,link
13545,4792,link
12035,13101,link
13546,13547,link
13548,9683,link
10645,8950,link
13549,12785,link
13550,13551,link
13552,8853,link
13553,12412,link
9612,8730,link
13554,8830,link
13555,13556,link
13557,13042,link
13558,13559,link
13560,13561,link
13562,13563,link
13564,4707,link
13565,13566,link
13567,13568,link
13569,13570,link
13571,13572,link
12119,13573,link
13574,8312,link
13575,13576,link
10781,6695,link
13577,13578,link
13579,13580,link
13581,5524,link
13582,13583,link
13584,9579,link
12587,13060,link
13585,13586,link
13587,4684,link
12720,13588,link
12554,6074,link
8434,13589,link
13590,13591,link
13592,13593,link
7442,13594,link
13595,13596,link
13597,12994,link
13598,13599,link
13600,11191,link
13601,9672,link
13602,13603,link
13604,13605,link
13606,9670,link
12885,13607,link
13608,13609,link
13610,13611,link
13612,12824,link
13613,6367,link
11174,10832,link
13614,13615,link
7790,13616,link
13617,12032,link
13618,12763,link
5477,13619,link
9359,9213,link
13620,12474,link
13621,13443,link
9471,13622,link
13623,13624,link
13625,13626,link
4974,5671,link
13627,6417,link
13628,13629,link
13630,7425,link
13631,13632,link
13633,13634,link
13635,13636,link
13637,13638,link
13639,11778,link
13640,13641,link
13642,13643,link
13644,13645,link
13646,13647,link
13648,6868,link
13649,13650,link
13651,13652,link
13653,13654,link
13655,13656,link
9091,13657,link
13658,13659,link
13660,13661,link
13662,13566,link
13663,9637,link
13664,13665,link
12366,13666,link
13667,12017,link
13668,13669,link
13670,6849,link
13671,9503,link
13672,13673,link
13674,13675,link
13676,13677,link
13678,13679,link
13680,13681,link
13682,8594,link
5920,6442,link
13683,12399,link
13684,13046,link
13685,11752,link
12837,6222,link
12648,13686,link
13687,13688,link
13689,12796,link
13690,12170,link
11525,7429,link
13691,13692,link
13693,5914,link
13694,13695,link
13696,13697,link
13698,12920,link
5776,13699,link
8674,6918,link
13700,13701,link
13702,4995,link
13703,13704,link
13705,13000,link
13706,13707,link
13441,13708,link
13709,13710,link
5930,13711,link
13712,13713,link
13714,13715,link
13716,13717,link
13718,5346,link
13719,13720,link
7354,9187,link
13721,13722,link
13723,13724,link
13725,13726,link
13727,11461,link
13728,13729,link
13730,13731,link
13732,13733,link
13734,4767,link
13735,11951,link
13736,13737,link
13677,13738,link
5411,6800,link
10109,8610,link
13739,13740,link
13741,13416,link
5362,13742,link
12437,9959,link
13743,8506,link
9938,11911,link
10953,13744,link
13745,8437,link
13746,13747,link
13748,13749,link
13750,13751,link
13752,13753,link
13754,6561,link
11068,9468,link
5572,13755,link
13756,13757,link
13758,13759,link
13760,13761,link
13762,13763,link
13764,13765,link
9491,13766,link
13767,13376,link
13768,12785,link
13769,13770,link
7571,13771,link
13772,10413,link
13773,13774,link
13775,13776,link
6811,4491,link
13777,11695,link
13778,10571,link
8809,6331,link
13779,13780,link
13781,13782,link
13783,13784,link
13785,13786,link
13787,9342,link
13788,13789,link
13790,13791,link
8885,13792,link
5504,13793,link
13794,13795,link
10005,12273,link
13796,13797,link
13798,5804,link
13799,13800,link
12076,13801,link
13802,7476,link
13803,13804,link
13805,13806,link
8319,13807,link
13808,13809,link
13810,13811,link
13812,6331,link
13813,13814,link
13815,13816,link
13455,13817,link
6650,8726,link
13818,13819,link
7889,13820,link
13821,13822,link
13823,5307,link
13824,7221,link
13825,13826,link
4660,9614,link
13827,13828,link
13829,13830,link
13831,13832,link
13833,13834,link
13835,13836,link
4778,4563,link
13837,13838,link
11849,4794,link
7332,13839,link
9331,13840,link
13841,10072,link
13842,13843,link
13844,13845,link
13846,13847,link
13848,13849,link
13850,9391,link
13851,13852,link
13853,13854,link
10942,6063,link
13855,13856,link
13857,13858,link
13859,13451,link
13860,13861,link
13862,13863,link
13864,12576,link
13865,11001,link
13866,10215,link
13867,13868,link
13869,13870,link
13871,7968,link
13872,13873,link
13874,13875,link
13876,13877,link
13878,10023,link
13879,4792,link
11016,13101,link
13880,12207,link
13881,13882,link
13883,13884,link
13885,13886,link
13887,13888,link
13889,13890,link
13891,13892,link
13893,13894,link
4974,4604,link
13895,9545,link
13896,5403,link
13897,5030,link
13898,13899,link
13900,13901,link
13902,13654,link
13903,6158,link
9796,9490,link
13904,13905,link
13906,9637,link
13907,13908,link
7654,13330,link
13909,12822,link
13910,13042,link
13911,13912,link
6448,13913,link
13914,4452,link
13915,13916,link
13917,9681,link
9276,13918,link
13919,13920,link
13921,4452,link
13922,13923,link
13924,13334,link
11166,9619,link
13925,13926,link
13927,13928,link
13929,13930,link
13931,13932,link
6399,13524,link
13933,13934,link
13935,13936,link
10448,7376,link
11962,5722,link
13937,11784,link
13938,13939,link
13940,13941,link
13942,13943,link
12845,13944,link
13945,13946,link
13947,10672,link
13948,4807,link
13949,13950,link
13951,13544,link
13952,13953,link
13954,13104,link
13282,13955,link
13956,13262,link
13957,13958,link
13959,13960,link
12372,11377,link
13961,13962,link
13963,6927,link
13964,13965,link
13966,8062,link
13967,9672,link
13968,13969,link
11459,10461,link
13970,11110,link
13971,13972,link
13973,4504,link
13974,13975,link
7991,10884,link
13976,13599,link
13977,5238,link
13978,13979,link
13980,13981,link
5258,13982,link
13983,13984,link
13985,13042,link
10333,7714,link
11723,13986,link
13987,13128,link
5947,13988,link
13989,13990,link
9534,11784,link
13991,13992,link
13993,6820,link
13123,13994,link
7963,13912,link
13995,7551,link
13996,12964,link
13916,13997,link
13998,11297,link
13999,14000,link
11484,14001,link
14002,5875,link
14003,12438,link
14004,8935,link
14005,12824,link
14006,14007,link
14008,14009,link
14010,14011,link
14012,14013,link
14014,5804,link
10921,8312,link
14015,14016,link
14017,13856,link
13707,10103,link
14018,14019,link
14020,6447,link
14021,13845,link
11953,7936,link
5452,14022,link
11507,7501,link
14023,14024,link
14025,14026,link
13775,13376,link
11977,14027,link
14028,12035,link
14029,14030,link
14031,13135,link
14032,14033,link
14034,12785,link
14035,14036,link
14037,13513,link
14038,14039,link
14040,14041,link
14042,6106,link
14043,14044,link
14045,14046,link
14047,12984,link
14048,14049,link
14050,14051,link
14052,14053,link
14054,13424,link
9150,6311,link
14055,8149,link
10299,10079,link
14056,12716,link
7737,14057,link
14058,14059,link
14060,7036,link
14061,12753,link
14062,14063,link
12535,4554,link
7840,8048,link
12116,14064,link
14065,13031,link
14045,5162,link
14066,4662,link
14067,14068,link
13850,14069,link
14070,14071,link
14072,14073,link
9230,14074,link
14075,12777,link
14076,13860,link
14077,14078,link
7110,5869,link
14079,4792,link
14080,14081,link
14082,7850,link
14083,8424,link
10469,12460,link
14084,13580,link
14085,14086,link
14087,7291,link
14088,6367,link
14089,14090,link
8839,12460,link
14091,12785,link
14092,4987,link
14093,11560,link
14094,13376,link
10041,9483,link
14095,6447,link
14096,14097,link
12524,12822,link
14098,4847,link
14099,12550,link
14100,14101,link
5315,7497,link
14102,6980,link
14103,14104,link
14105,13361,link
12175,14106,link
14107,8419,link
14108,14109,link
14110,13297,link
14111,14112,link
14113,14114,link
6013,9707,link
14115,5381,link
14116,14117,link
14118,14119,link
13782,14120,link
14121,14122,link
14123,9128,link
14124,11474,link
14125,14126,link
7417,14127,link
14128,14129,link
14130,9329,link
14131,14132,link
14133,14134,link
14135,14136,link
14137,14138,link
9890,9214,link
14139,14140,link
14141,14142,link
13470,14143,link
14144,14145,link
14146,9579,link
14147,14148,link
14149,14150,link
12366,13060,link
14151,12714,link
14152,14153,link
14154,14155,link
14156,5891,link
14157,13050,link
5416,6246,link
14158,14159,link
14160,13297,link
14161,7095,link
9578,12785,link
14162,14163,link
14164,13513,link
14165,14166,link
14167,13363,link
14168,14169,link
14170,6013,link
7366,5997,link
14171,12627,link
14172,14173,link
14174,10457,link
8617,14022,link
14175,14176,link
14177,12580,link
14178,14179,link
12701,8678,link
14180,14181,link
14182,13836,link
8130,14183,link
14184,12949,link
14185,8992,link
14186,14187,link
14188,14189,link
14190,7807,link
14191,12785,link
14192,14193,link
14194,12855,link
14195,11199,link
14196,12230,link
14197,14198,link
14199,12763,link
14200,14201,link
12019,14202,link
14203,12785,link
14204,13202,link
14205,9391,link
14206,14207,link
14208,13912,link
14209,14210,link
14211,12714,link
14212,14213,link
14214,14215,link
14216,5804,link
14217,14218,link
14219,6450,link
14220,14221,link
14222,14223,link
14224,14225,link
14226,14227,link
14228,14229,link
14230,14231,link
14232,6747,link
14233,14234,link
14235,13556,link
14236,14237,link
14238,9819,link
14239,14240,link
14241,13886,link
14242,14243,link
14244,4863,link
14245,8343,link
14246,13238,link
14247,9872,link
14248,14249,link
10936,14250,link
14251,14252,link
14253,13011,link
14254,14255,link
14256,13544,link
14257,12357,link
14258,14259,link
8842,6380,link
14260,14261,link
14262,14263,link
6190,14264,link
14265,13042,link
14266,13493,link
14267,14268,link
14269,14270,link
14271,5408,link
14272,14273,link
5861,12259,link
14274,14275,link
14276,9329,link
14277,14225,link
14278,14279,link
11988,10813,link
14280,13355,link
7656,14281,link
11157,11145,link
11238,13622,link
14282,14283,link
14284,13888,link
6155,14285,link
14286,14287,link
6919,7612,link
14288,10348,link
14289,10884,link
14290,14291,link
14292,14293,link
14294,10953,link
14295,5824,link
14296,14297,link
4885,4452,link
14298,14299,link
14300,14138,link
14301,14302,link
14303,14304,link
14305,14306,link
14307,10897,link
7915,14308,link
12254,14309,link
14310,6488,link
14311,4913,link
14312,8315,link
14313,12857,link
14314,14315,link
14316,14317,link
14318,14319,link
14320,14321,link
13651,12787,link
14322,14323,link
14324,14325,link
14326,11113,link
14327,12994,link
14328,14329,link
14330,14331,link
14332,14333,link
14334,14335,link
14336,14337,link
14338,13262,link
12628,7305,link
14339,14340,link
14341,14342,link
13989,13577,link
14343,14344,link
12523,14345,link
14346,7610,link
14347,10282,link
5644,14057,link
14348,14349,link
14350,11420,link
14351,14352,link
14353,10523,link
14354,5117,link
10706,5117,link
14355,7714,link
14356,10936,link
12002,8726,link
14357,14358,link
14359,8891,link
14360,14361,link
14362,14363,link
14364,14365,link
14366,14367,link
6369,14368,link
14369,8828,link
14370,9389,link
12557,12622,link
14371,10285,link
14372,14373,link
14374,13224,link
14375,10858,link
14376,13358,link
14377,14378,link
14379,6458,link
10951,10331,link
12771,14380,link
14381,12655,link
14382,8830,link
11828,14383,link
5761,6802,link
14384,12121,link
14385,10330,link
14386,14387,link
14388,13106,link
14389,13238,link
14390,14391,link
14392,13351,link
14393,14394,link
14395,10473,link
14396,14397,link
12776,14398,link
14399,14400,link
8407,9215,link
14401,14402,link
14403,6700,link
14404,6918,link
12295,11909,link
14405,14406,link
14407,13566,link
14408,14409,link
14410,14411,link
14412,14413,link
14414,13544,link
14415,14416,link
11061,14417,link
12534,4894,link
11168,14418,link
14419,10897,link
14420,14421,link
5653,12076,link
8371,14422,link
5645,13861,link
14423,13423,link
5020,10337,link
14424,4749,link
14425,14426,link
13402,14427,link
14428,14429,link
14430,12139,link
14431,14432,link
14433,14434,link
14435,14436,link
14437,14438,link
14439,12770,link
14440,14441,link
14442,13305,link
14443,14444,link
4520,7968,link
14445,14446,link
6080,10103,link
14447,12545,link
14332,11001,link
14448,14449,link
14450,11199,link
14451,11451,link
14452,14453,link
14454,14455,link
14456,12785,link
14457,4792,link
14458,14459,link
9485,10529,link
14460,12866,link
14461,4617,link
14462,14463,link
14464,14465,link
14466,13003,link
14467,9672,link
14468,14469,link
14470,14471,link
14472,14473,link
14474,12166,link
12399,14475,link
11365,14281,link
14476,14477,link
14478,14479,link
14480,10412,link
14481,14482,link
14483,14484,link
14485,12651,link
14486,7951,link
14487,14488,link
14489,6670,link
14490,14491,link
14492,14493,link
14494,14495,link
14496,14497,link
14498,11384,link
5378,5487,link
14499,4826,link
12855,14500,link
14501,14502,link
14503,14504,link
14505,13612,link
14506,14507,link
14508,14509,link
14510,14511,link
14512,14513,link
14514,14515,link
10549,13307,link
14516,14517,link
5770,9424,link
14518,11913,link
14519,9428,link
14520,14521,link
14522,14523,link
14524,14525,link
14526,11075,link
14527,14528,link
6466,14529,link
13568,5765,link
14530,14531,link
14532,13034,link
14533,14534,link
4758,14535,link
14536,6849,link
14537,14538,link
14539,11350,link
14540,10413,link
11584,9667,link
14541,10529,link
14542,9428,link
9928,10386,link
14543,14544,link
14545,14546,link
14547,14548,link
14549,8950,link
14550,14551,link
14552,14553,link
14554,14555,link
10041,10884,link
11882,14556,link
